iter	Passed	Remaining
0	128	128118
1	135	67720
2	144	47896
3	151	37673
4	159	31651
5	166	27656
6	175	24857
7	182	22631
8	190	20941
9	197	19536
10	204	18359
11	210	17309
12	215	16385
13	221	15581
14	226	14846
15	231	14229
16	236	13694
17	242	13229
18	248	12831
19	254	12459
20	259	12109
21	265	11788
22	270	11502
23	276	11246
24	281	10985
25	286	10748
26	292	10546
27	298	10348
28	303	10156
29	308	9990
30	314	9826
31	322	9760
32	334	9804
33	341	9693
34	351	9695
35	362	9698
36	372	9685
37	379	9600
38	385	9489
39	391	9392
40	399	9333
41	407	9291
42	416	9280
43	423	9208
44	430	9135
45	440	9136
46	446	9060
47	452	8972
48	458	8896
49	464	8821
50	469	8743
51	475	8673
52	481	8600
53	487	8532
54	492	8467
55	498	8407
56	504	8342
57	509	8282
58	515	8225
59	520	8161
60	526	8103
61	532	8052
62	538	8012
63	545	7975
64	551	7931
65	557	7894
66	564	7857
67	569	7811
68	576	7779
69	582	7736
70	588	7696
71	593	7653
72	599	7617
73	609	7626
74	618	7622
75	625	7610
76	632	7585
77	639	7560
78	646	7542
79	653	7514
80	659	7486
81	667	7470
82	676	7468
83	688	7506
84	709	7637
85	718	7634
86	723	7595
87	731	7578
88	738	7562
89	744	7527
90	750	7497
91	759	7496
92	767	7487
93	776	7487
94	784	7472
95	795	7492
96	803	7479
97	814	7498
98	821	7480
99	828	7459
100	834	7427
101	840	7395
102	845	7366
103	852	7344
104	858	7315
105	864	7294
106	870	7265
107	876	7236
108	881	7207
109	887	7179
110	892	7151
111	898	7127
112	904	7101
113	910	7073
114	915	7048
115	921	7021
116	927	6998
117	932	6971
118	938	6946
119	944	6929
120	950	6904
121	956	6881
122	961	6855
123	967	6832
124	973	6811
125	978	6789
126	986	6778
127	992	6760
128	998	6738
129	1004	6721
130	1009	6699
131	1015	6679
132	1021	6661
133	1027	6637
134	1032	6617
135	1039	6602
136	1045	6586
137	1050	6564
138	1058	6556
139	1064	6538
140	1070	6520
141	1075	6500
142	1081	6481
143	1086	6461
144	1092	6443
145	1099	6429
146	1105	6414
147	1110	6393
148	1116	6374
149	1121	6356
150	1127	6339
151	1133	6323
152	1139	6308
153	1145	6291
154	1150	6271
155	1155	6253
156	1161	6236
157	1166	6217
158	1172	6201
159	1178	6186
160	1184	6171
161	1190	6157
162	1195	6140
163	1202	6127
164	1207	6112
165	1214	6099
166	1219	6082
167	1225	6070
168	1232	6061
169	1238	6047
170	1244	6032
171	1249	6015
172	1255	5999
173	1260	5982
174	1265	5966
175	1271	5950
176	1276	5934
177	1282	5920
178	1287	5904
179	1292	5888
180	1298	5874
181	1303	5859
182	1308	5843
183	1314	5830
184	1320	5816
185	1326	5803
186	1331	5790
187	1337	5776
188	1343	5765
189	1349	5751
190	1357	5749
191	1369	5763
192	1380	5770
193	1393	5787
194	1404	5800
195	1412	5793
196	1418	5782
197	1426	5776
198	1436	5780
199	1442	5771
200	1450	5765
201	1457	5756
202	1465	5751
203	1472	5744
204	1478	5732
205	1484	5719
206	1489	5706
207	1494	5691
208	1499	5675
209	1505	5663
210	1511	5650
211	1516	5636
212	1522	5623
213	1528	5612
214	1533	5600
215	1539	5587
216	1545	5575
217	1550	5563
218	1556	5549
219	1561	5537
220	1567	5524
221	1572	5511
222	1578	5499
223	1583	5486
224	1589	5475
225	1595	5463
226	1600	5449
227	1606	5437
228	1611	5425
229	1617	5416
230	1623	5405
231	1629	5394
232	1636	5387
233	1654	5415
234	1675	5452
235	1685	5456
236	1693	5452
237	1700	5445
238	1708	5441
239	1715	5431
240	1721	5420
241	1727	5410
242	1733	5400
243	1739	5390
244	1745	5377
245	1750	5366
246	1756	5355
247	1762	5343
248	1767	5331
249	1773	5319
250	1778	5307
251	1784	5296
252	1789	5285
253	1796	5275
254	1802	5266
255	1812	5268
256	1821	5266
257	1832	5270
258	1845	5280
259	1861	5298
260	1871	5300
261	1878	5290
262	1883	5279
263	1889	5267
264	1895	5256
265	1900	5244
266	1906	5233
267	1911	5221
268	1918	5212
269	1924	5202
270	1929	5191
271	1935	5180
272	1940	5168
273	1946	5157
274	1951	5145
275	1957	5134
276	1963	5124
277	1968	5113
278	1974	5101
279	1979	5090
280	1984	5078
281	1990	5069
282	1996	5058
283	2002	5048
284	2008	5039
285	2014	5030
286	2020	5020
287	2026	5010
288	2032	5001
289	2038	4990
290	2044	4980
291	2049	4969
292	2055	4959
293	2061	4949
294	2067	4940
295	2072	4929
296	2078	4919
297	2084	4909
298	2089	4898
299	2095	4888
300	2100	4878
301	2106	4869
302	2112	4859
303	2118	4850
304	2124	4841
305	2129	4829
306	2135	4819
307	2140	4809
308	2146	4799
309	2151	4789
310	2157	4780
311	2163	4770
312	2168	4759
313	2174	4749
314	2179	4740
315	2185	4730
316	2192	4724
317	2198	4714
318	2204	4706
319	2212	4700
320	2218	4692
321	2224	4684
322	2230	4674
323	2235	4664
324	2241	4655
325	2246	4645
326	2252	4636
327	2258	4627
328	2264	4617
329	2269	4607
330	2274	4597
331	2280	4587
332	2286	4578
333	2291	4569
334	2297	4560
335	2302	4551
336	2308	4541
337	2313	4532
338	2319	4522
339	2325	4513
340	2330	4504
341	2336	4494
342	2341	4485
343	2347	4475
344	2353	4467
345	2358	4458
346	2364	4448
347	2369	4439
348	2375	4430
349	2380	4420
350	2387	4415
351	2397	4413
352	2406	4411
353	2414	4406
354	2423	4404
355	2430	4397
356	2441	4397
357	2450	4395
358	2459	4392
359	2466	4384
360	2473	4377
361	2479	4370
362	2490	4369
363	2497	4363
364	2503	4355
365	2509	4347
366	2515	4338
367	2521	4329
368	2526	4320
369	2532	4311
370	2537	4302
371	2543	4293
372	2548	4284
373	2554	4275
374	2559	4266
375	2565	4258
376	2570	4248
377	2576	4239
378	2581	4230
379	2587	4221
380	2593	4213
381	2598	4203
382	2603	4194
383	2609	4185
384	2614	4176
385	2620	4168
386	2626	4159
387	2631	4150
388	2637	4142
389	2642	4133
390	2648	4125
391	2653	4116
392	2659	4107
393	2665	4099
394	2672	4093
395	2678	4085
396	2685	4078
397	2690	4070
398	2698	4064
399	2705	4058
400	2711	4050
401	2717	4042
402	2723	4035
403	2729	4027
404	2735	4018
405	2741	4010
406	2747	4002
407	2752	3994
408	2758	3986
409	2763	3977
410	2769	3969
411	2775	3961
412	2781	3953
413	2786	3944
414	2791	3935
415	2797	3927
416	2802	3918
417	2808	3910
418	2814	3902
419	2819	3893
420	2824	3885
421	2830	3877
422	2835	3868
423	2842	3861
424	2850	3856
425	2857	3850
426	2867	3847
427	2875	3843
428	2887	3843
429	2897	3841
430	2908	3840
431	2916	3834
432	2923	3827
433	2929	3820
434	2934	3811
435	2940	3803
436	2945	3795
437	2951	3786
438	2957	3778
439	2962	3770
440	2968	3762
441	2973	3753
442	2979	3745
443	2984	3737
444	2990	3729
445	2996	3721
446	3001	3712
447	3006	3704
448	3012	3696
449	3018	3688
450	3024	3681
451	3029	3673
452	3035	3665
453	3040	3656
454	3045	3648
455	3051	3640
456	3056	3631
457	3061	3623
458	3067	3615
459	3073	3608
460	3079	3600
461	3084	3592
462	3090	3584
463	3095	3576
464	3101	3568
465	3107	3560
466	3113	3553
467	3118	3544
468	3123	3536
469	3129	3528
470	3134	3520
471	3140	3512
472	3145	3505
473	3151	3497
474	3158	3491
475	3164	3483
476	3170	3475
477	3175	3467
478	3181	3459
479	3186	3452
480	3192	3444
481	3197	3436
