loannumber,loanamount,totaldue,termdays,bank_account_type,bank_name_clients,employment_status_clients,last_loan_amount,avg_amount,std_amount,avg_total_due,avg_term_days,std_term_days,avg_approval_time,avg_payout_time,prct_duedate_default,loan_growth_trend,max_repay_delay,avg_loan_gap,referred,age,state,acct_age_years,time_btwn_last_loan,default,credit_score,debt_to_loan_ratio,const_default,unusual_large
12,30000.0,34500.0,30,Other,Diamond Bank,Permanent,20000.0,18181.82,5749.6,22081.82,30.0,0.0,0.0,29.454545454545453,0.2727272727272727,454.5455,39.0,2.0,0,53.0,Lagos,9,0,0,3.82895914270356,1.15,0,0
2,15000.0,17250.0,30,Savings,GT Bank,Permanent,10000.0,10000.0,0.0,13000.0,27.857142857142858,0.0,0.0,23.0,0.0,0.0,0.0,1.25,0,40.0,Oyo,8,-5,0,4.082297574514297,1.15,0,0
7,20000.0,22250.0,15,Other,EcoBank,Permanent,10000.0,10000.0,0.0,11750.0,17.5,5.59,0.0,18.166666666666668,0.16666666666666666,0.0,30.0,9.4,0,40.0,Gombe,8,41,0,3.392146046303158,1.1125,0,0
3,10000.0,11500.0,15,Savings,First Bank,Permanent,10000.0,10000.0,0.0,12250.0,22.5,7.5,0.0,31.5,1.0,-0.0,11.0,1.0,0,47.0,Oyo,8,13,0,1.0025168508334907,1.15,1,0
9,40000.0,44000.0,30,Other,GT Bank,Permanent,30000.0,18750.0,7806.25,23550.0,37.5,12.99,0.0,27.0,0.0,3214.2857,0.0,13.2857,0,39.0,Federal Capital Territory,9,0,0,4.757968591080692,1.1,0,1
8,30000.0,39000.0,60,Unknown,Unknown,Unknown,20000.0,14285.71,4948.72,17828.57,30.0,0.0,0.0,24.857142857142858,0.14285714285714285,2142.8571,1.0,0.0,0,40.0,Unknown,8,0,0,2.94983783304561,1.3,0,1
3,10000.0,13000.0,30,Savings,GT Bank,Permanent,10000.0,10000.0,0.0,12250.0,22.5,7.5,0.0,19.5,0.0,-0.0,0.0,0.0,0,36.0,Lagos,8,0,0,4.041959006361079,1.3,0,0
10,30000.0,34500.0,30,Savings,First Bank,Unknown,30000.0,20000.0,8164.97,23000.0,23.333333333333332,7.45,0.0,22.11111111111111,0.0,3000.0,0.0,2.375,0,37.0,Delta,8,0,0,3.366287989794685,1.15,0,0
4,10000.0,11500.0,15,Savings,GT Bank,Permanent,10000.0,10000.0,0.0,11500.0,15.0,0.0,0.0,17.666666666666668,0.3333333333333333,0.0,9.0,3.0,0,38.0,Lagos,8,14,0,2.9807443672533562,1.15,0,0
2,10000.0,11500.0,15,Savings,Access Bank,Unemployed,10000.0,10000.0,0.0,11500.0,15.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0,40.0,Lagos,8,7,0,3.533693047630539,1.15,0,0
2,10000.0,13000.0,30,Savings,EcoBank,Permanent,10000.0,10000.0,0.0,11500.0,15.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0,42.0,Rivers,8,0,0,4.102466858590906,1.3,0,0
3,10000.0,13000.0,30,Savings,GT Bank,Permanent,10000.0,10000.0,0.0,12250.0,22.5,7.5,0.0,23.0,0.5,-0.0,7.0,6.0,0,37.0,Oyo,8,2,1,2.468065300212035,1.3,1,0
2,10000.0,11500.0,15,Savings,First Bank,Unknown,10000.0,10000.0,0.0,13000.0,30.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0,60.0,Ogun,8,0,0,3.5982347566756876,1.15,0,0
11,40000.0,44000.0,30,Other,UBA,Permanent,40000.0,24000.0,9165.15,27720.0,28.5,4.5,0.0,26.6,0.1,3030.303,1.0,6.2222,0,48.0,Lagos,9,0,0,4.534279163578064,1.1,0,0
13,40000.0,44000.0,30,Other,First Bank,Self-Employed,40000.0,21666.67,9860.13,24575.0,22.5,7.5,0.0,21.5,0.0,2727.2727,0.0,0.4545,0,46.0,Lagos,8,0,0,4.005654295023184,1.1,0,0
3,10000.0,13000.0,30,Savings,Access Bank,Permanent,10000.0,10000.0,0.0,13000.0,30.0,0.0,0.0,28.0,0.0,-0.0,0.0,0.0,0,40.0,Oyo,8,2,0,4.082297574514297,1.3,0,0
3,10000.0,11500.0,15,Other,UBA,Permanent,10000.0,10000.0,0.0,12250.0,22.5,7.5,0.0,25.0,0.5,-0.0,6.0,2.0,0,43.0,Lagos,8,19,0,2.5344343119171153,1.15,1,0
2,10000.0,11500.0,15,Savings,GT Bank,Unknown,10000.0,10000.0,0.0,11500.0,15.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1,43.0,Lagos,8,67,1,3.4267958420245113,1.15,0,0
15,40000.0,44000.0,30,Savings,Diamond Bank,Permanent,40000.0,26428.57,10424.66,29717.86,23.571428571428573,7.42,0.0,20.785714285714285,0.14285714285714285,2439.5604,4.0,3.1538,0,49.0,Lagos,9,0,0,4.394527450173985,1.1,0,0
10,30000.0,34500.0,30,Savings,Diamond Bank,Permanent,30000.0,20000.0,8164.97,22611.11,20.0,7.07,0.0,16.22222222222222,0.1111111111111111,3000.0,1.0,2.0,0,39.0,Nasarawa,8,1,0,3.723473943698389,1.15,0,0
3,10000.0,13000.0,30,Savings,GT Bank,Permanent,10000.0,10000.0,0.0,13000.0,30.0,0.0,0.0,22.5,0.0,-0.0,0.0,0.0,1,47.0,Lagos,8,0,0,4.152890068782429,1.3,0,0
2,10000.0,11500.0,15,Savings,First Bank,Permanent,10000.0,10000.0,0.0,11500.0,15.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1,31.0,Lagos,8,5,1,3.991535796169558,1.15,0,0
7,25000.0,28750.0,30,Savings,GT Bank,Unknown,20000.0,13333.33,4714.05,15020.83,15.0,0.0,0.0,12.833333333333334,0.3333333333333333,2285.7143,2.0,15.2,0,42.0,Niger,8,0,0,2.376355393128652,1.15,0,0
3,10000.0,13000.0,30,Savings,GT Bank,Permanent,10000.0,10000.0,0.0,12250.0,22.5,7.5,0.0,21.5,0.0,-0.0,0.0,28.0,0,43.0,Oyo,8,7,0,4.112551500629211,1.3,0,0
2,10000.0,13000.0,30,Savings,GT Bank,Permanent,10000.0,10000.0,0.0,13000.0,30.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0,37.0,Oyo,8,0,0,4.052043648399384,1.3,0,0
3,10000.0,13000.0,30,Savings,GT Bank,Permanent,10000.0,10000.0,0.0,12250.0,22.5,7.5,0.0,11.5,0.0,-0.0,0.0,16.0,0,37.0,Ogun,8,7,0,4.052043648399384,1.3,0,0
4,20000.0,24500.0,30,Savings,Union Bank,Permanent,10000.0,10000.0,0.0,11500.0,15.0,0.0,0.0,12.666666666666666,0.0,0.0,0.0,0.0,0,33.0,Anambra,8,4,0,4.011705080246167,1.225,0,0
2,10000.0,11500.0,15,Savings,GT Bank,Permanent,10000.0,10000.0,0.0,11500.0,15.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1,41.0,Lagos,8,17,0,4.092382216552601,1.15,0,0
5,20000.0,22250.0,15,Savings,GT Bank,Permanent,20000.0,12500.0,4330.13,15500.0,26.25,6.5,0.0,21.75,0.25,3000.0,3.0,5.0,0,39.0,Lagos,8,19,0,3.283154338119946,1.1125,0,0
6,10000.0,13000.0,30,Unknown,Unknown,Unknown,10000.0,10000.0,0.0,13000.0,30.0,0.0,0.0,48.2,0.8,-0.0,33.0,1.0,0,40.0,Unknown,8,0,1,0.7344032822493056,1.3,1,0
2,10000.0,13000.0,30,Savings,UBA,Permanent,10000.0,10000.0,0.0,13000.0,30.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0,34.0,Lagos,8,13,0,4.0217897222844705,1.3,0,0
5,20000.0,24500.0,30,Savings,First Bank,Unknown,20000.0,12500.0,4330.13,15875.0,30.0,0.0,0.0,29.75,0.0,3000.0,0.0,0.0,0,48.0,Federal Capital Territory,8,0,0,3.477219052216034,1.225,0,0
10,20000.0,24500.0,30,Other,First Bank,Permanent,20000.0,13333.33,4714.05,16211.11,25.0,7.07,0.0,24.333333333333332,0.2222222222222222,1166.6667,9.0,5.5,0,40.0,Lagos,8,0,0,3.343791480632314,1.225,0,0
4,20000.0,24500.0,30,Savings,FCMB,Permanent,10000.0,10000.0,0.0,13000.0,30.0,0.0,0.0,29.0,0.0,0.0,0.0,2.5,0,43.0,Lagos,8,0,0,4.112551500629211,1.225,0,0
2,10000.0,13000.0,30,Unknown,Unknown,Unknown,10000.0,10000.0,0.0,11500.0,15.0,0.0,0.0,25.0,1.0,0.0,10.0,0.0,0,40.0,Unknown,8,84,0,0.25202985743591527,1.3,1,0
5,20000.0,22250.0,15,Other,UBA,Student,20000.0,15000.0,5000.0,18750.0,30.0,0.0,0.0,27.5,0.25,4000.0,1.0,68.6667,0,31.0,Edo,9,0,0,3.488501784205899,1.1125,0,0
2,10000.0,13000.0,30,Savings,UBA,Permanent,10000.0,10000.0,0.0,13000.0,30.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1,36.0,Lagos,8,2,0,4.041959006361079,1.3,0,0
2,10000.0,11500.0,15,Savings,GT Bank,Permanent,10000.0,10000.0,0.0,11500.0,15.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0,44.0,Ogun,8,0,0,4.122636142667514,1.15,0,0
8,30000.0,34500.0,30,Unknown,Unknown,Unknown,30000.0,17142.86,6998.54,19664.29,19.285714285714285,6.78,0.0,14.428571428571429,0.0,3214.2857,0.0,3.8333,0,40.0,Unknown,8,1,0,3.3965419159095984,1.15,0,0
15,40000.0,44000.0,30,Other,GT Bank,Permanent,40000.0,29285.71,10326.31,33485.71,30.0,0.0,0.0,24.785714285714285,0.2857142857142857,2395.6044,3.0,0.2308,0,36.0,Adamawa,9,0,0,3.8284453397625473,1.1,0,0
4,10000.0,13000.0,30,Unknown,Unknown,Unknown,10000.0,10000.0,0.0,12000.0,20.0,7.07,0.0,30.666666666666668,1.0,0.0,17.0,162.0,0,40.0,Unknown,9,0,0,0.8967573997138373,1.3,1,0
2,10000.0,13000.0,30,Unknown,Unknown,Unknown,10000.0,10000.0,0.0,11500.0,15.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1,40.0,Unknown,8,9,0,3.3965419159095984,1.3,0,0
3,10000.0,11500.0,15,Savings,GT Bank,Unknown,10000.0,10000.0,0.0,11500.0,15.0,0.0,0.0,14.0,0.0,-0.0,0.0,6.0,0,49.0,Lagos,8,162,0,3.4873036942543383,1.15,0,0
4,10000.0,11500.0,15,Savings,GT Bank,Permanent,10000.0,10000.0,0.0,13000.0,30.0,0.0,0.0,16.666666666666668,0.0,0.0,0.0,9.5,0,39.0,Oyo,8,10,0,4.072212932475993,1.15,0,0
5,20000.0,22250.0,15,Unknown,Unknown,Unknown,20000.0,12500.0,4330.13,14187.5,15.0,0.0,0.0,16.0,0.5,3000.0,2.0,18.3333,0,40.0,Unknown,8,14,0,1.8418693650985183,1.1125,1,0
2,10000.0,13000.0,30,Savings,GT Bank,Permanent,10000.0,10000.0,0.0,11500.0,15.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,1,38.0,Lagos,8,0,0,4.062128290437688,1.3,0,0
