latitude_gps,longitude_gps
6.4330553,3.4320102
7.3207003,3.885298
10.2920413,11.1393496
7.4917081,3.9857698
9.0765736,7.4579127
,
6.5570112,3.2594445
5.4257996,6.1780556
6.6279429,3.3965242
6.5824439,3.2858723
4.8834997,7.1233193
7.3326277,3.8210848
6.6832653,3.1727935
6.636865,3.3022556
6.456209,3.3526543
7.3943183,3.70037
6.5169394,3.3718018
6.5975949,3.3661119
6.4530244,3.4296003
8.8351164,7.8876376
6.5617308,3.345346
6.6592427,3.5246642
9.2174068,7.1694297
7.3979258,3.8701435
7.4239296,3.9809867
6.668355,3.35763
6.1594433,6.8004083
6.5319046,3.2205031
6.4489694,3.479829
,
6.5532982,3.259777
8.9494179,7.4401471
6.4281638,3.4085368
6.6400639,3.2934205
,
6.3906691,5.6140915
6.605609,3.3594054
6.5342122,2.957738
,
9.2099548,12.4805166
,
,
6.5103567,3.30555
7.3393735,3.9036073
,
6.6681408,3.6595105
9.0830135,8.6713276
6.4634231,3.5579715
,
7.799699,5.3269784
6.7062641,3.5159825
6.5667918,3.2643932
6.8171079,3.9074055
6.6538756,3.3229955
,
7.307713,3.8710285
,
8.9966162,7.4847391
6.5094142,3.3427681
6.8257862,3.4339027
56.464013,-2.9799497
8.9654194,7.4941013
,
4.9612435,8.3232966
,
6.6879675,3.1696445
,
7.3864283,3.9628733
,
,
6.1538848,6.785373
,
,
7.3684474,3.8485124
,
6.5295153,3.3562934
6.8170067,3.4575733
6.5054402,3.1941288
,
6.5613766,3.3704039
6.8846432,3.5754168
9.6558677,6.5298068
7.0111402,3.0422946
,
,
6.6641726,3.3296052
4.9916379,8.3422141
6.475366,3.3189105
6.5206408,3.0761816
,
6.4445183,3.4569749
,
9.0338175,7.4031311
6.6817293,3.2987679
10.5155267,7.42814
6.4670586,3.5643465
6.834497,3.9192159
6.5848311,3.3329005
7.5221913,4.5164514
5.0315413,7.9308565
8.9866,7.3739783
6.4143695,7.5247928
6.6697184,3.516056
6.5762048,3.2906601
4.787991,6.9935739
5.5321806,5.74397
,
8.4683092,4.4920481
,
6.5763859,3.2907677
6.4391929,3.4585124
,
7.4209592,3.8715045
,
4.8818767,6.975335
6.6387534,3.3399935
4.847945,7.081465
,
6.5391844,3.39221
12.0086534,8.5754049
7.1194033,3.3255983
