latitude_gps,longitude_gps,geometry,state,country
6.4330553,3.4320102,POINT (3.4320102 6.4330553),Lagos,Nigeria
7.3207003,3.885298,POINT (3.885298 7.3207003),Oyo,Nigeria
10.2920413,11.1393496,POINT (11.1393496 10.2920413),Gombe,Nigeria
7.4917081,3.9857698,POINT (3.9857698 7.4917081),Oyo,Nigeria
9.0765736,7.4579127,POINT (7.4579127 9.0765736),Federal Capital Territory,Nigeria
,,,,
6.5570112,3.2594445,POINT (3.2594445 6.5570112),Lagos,Nigeria
5.4257996,6.1780556,POINT (6.1780556 5.4257996),Delta,Nigeria
6.6279429,3.3965242,POINT (3.3965242 6.6279429),Lagos,Nigeria
6.5824439,3.2858723,POINT (3.2858723 6.5824439),Lagos,Nigeria
4.8834997,7.1233193,POINT (7.1233193 4.8834997),Rivers,Nigeria
7.3326277,3.8210848,POINT (3.8210848 7.3326277),Oyo,Nigeria
6.6832653,3.1727935,POINT (3.1727935 6.6832653),Ogun,Nigeria
6.636865,3.3022556,POINT (3.3022556 6.636865),Lagos,Nigeria
6.456209,3.3526543,POINT (3.3526543 6.456209),Lagos,Nigeria
7.3943183,3.70037,POINT (3.70037 7.3943183),Oyo,Nigeria
6.5169394,3.3718018,POINT (3.3718018 6.5169394),Lagos,Nigeria
6.5975949,3.3661119,POINT (3.3661119 6.5975949),Lagos,Nigeria
6.4530244,3.4296003,POINT (3.4296003 6.4530244),Lagos,Nigeria
8.8351164,7.8876376,POINT (7.8876376 8.8351164),Nasarawa,Nigeria
6.5617308,3.345346,POINT (3.345346 6.5617308),Lagos,Nigeria
6.6592427,3.5246642,POINT (3.5246642 6.6592427),Lagos,Nigeria
9.2174068,7.1694297,POINT (7.1694297 9.2174068),Niger,Nigeria
7.3979258,3.8701435,POINT (3.8701435 7.3979258),Oyo,Nigeria
7.4239296,3.9809867,POINT (3.9809867 7.4239296),Oyo,Nigeria
6.668355,3.35763,POINT (3.35763 6.668355),Ogun,Nigeria
6.1594433,6.8004083,POINT (6.8004083 6.1594433),Anambra,Nigeria
6.5319046,3.2205031,POINT (3.2205031 6.5319046),Lagos,Nigeria
6.4489694,3.479829,POINT (3.479829 6.4489694),Lagos,Nigeria
,,,,
6.5532982,3.259777,POINT (3.259777 6.5532982),Lagos,Nigeria
8.9494179,7.4401471,POINT (7.4401471 8.9494179),Federal Capital Territory,Nigeria
6.4281638,3.4085368,POINT (3.4085368 6.4281638),Lagos,Nigeria
6.6400639,3.2934205,POINT (3.2934205 6.6400639),Lagos,Nigeria
,,,,
6.3906691,5.6140915,POINT (5.6140915 6.3906691),Edo,Nigeria
6.605609,3.3594054,POINT (3.3594054 6.605609),Lagos,Nigeria
6.5342122,2.957738,POINT (2.957738 6.5342122),Ogun,Nigeria
,,,,
9.2099548,12.4805166,POINT (12.4805166 9.2099548),Adamawa,Nigeria
,,,,
,,,,
6.5103567,3.30555,POINT (3.30555 6.5103567),Lagos,Nigeria
7.3393735,3.9036073,POINT (3.9036073 7.3393735),Oyo,Nigeria
,,,,
6.6681408,3.6595105,POINT (3.6595105 6.6681408),Lagos,Nigeria
9.0830135,8.6713276,POINT (8.6713276 9.0830135),Nasarawa,Nigeria
6.4634231,3.5579715,POINT (3.5579715 6.4634231),Lagos,Nigeria
,,,,
7.799699,5.3269784,POINT (5.3269784 7.799699),Ekiti,Nigeria
6.7062641,3.5159825,POINT (3.5159825 6.7062641),Ogun,Nigeria
6.5667918,3.2643932,POINT (3.2643932 6.5667918),Lagos,Nigeria
6.8171079,3.9074055,POINT (3.9074055 6.8171079),Ogun,Nigeria
6.6538756,3.3229955,POINT (3.3229955 6.6538756),Lagos,Nigeria
,,,,
7.307713,3.8710285,POINT (3.8710285 7.307713),Oyo,Nigeria
,,,,
8.9966162,7.4847391,POINT (7.4847391 8.9966162),Federal Capital Territory,Nigeria
6.5094142,3.3427681,POINT (3.3427681 6.5094142),Lagos,Nigeria
6.8257862,3.4339027,POINT (3.4339027 6.8257862),Ogun,Nigeria
56.464013,-2.9799497,POINT (-2.9799497 56.464013),Abroad,Abroad
8.9654194,7.4941013,POINT (7.4941013 8.9654194),Federal Capital Territory,Nigeria
,,,,
4.9612435,8.3232966,POINT (8.3232966 4.9612435),Cross River,Nigeria
,,,,
6.6879675,3.1696445,POINT (3.1696445 6.6879675),Ogun,Nigeria
,,,,
7.3864283,3.9628733,POINT (3.9628733 7.3864283),Oyo,Nigeria
,,,,
,,,,
6.1538848,6.785373,POINT (6.785373 6.1538848),Anambra,Nigeria
,,,,
,,,,
7.3684474,3.8485124,POINT (3.8485124 7.3684474),Oyo,Nigeria
,,,,
6.5295153,3.3562934,POINT (3.3562934 6.5295153),Lagos,Nigeria
6.8170067,3.4575733,POINT (3.4575733 6.8170067),Ogun,Nigeria
6.5054402,3.1941288,POINT (3.1941288 6.5054402),Lagos,Nigeria
,,,,
6.5613766,3.3704039,POINT (3.3704039 6.5613766),Lagos,Nigeria
6.8846432,3.5754168,POINT (3.5754168 6.8846432),Ogun,Nigeria
9.6558677,6.5298068,POINT (6.5298068 9.6558677),Niger,Nigeria
7.0111402,3.0422946,POINT (3.0422946 7.0111402),Ogun,Nigeria
,,,,
,,,,
6.6641726,3.3296052,POINT (3.3296052 6.6641726),Lagos,Nigeria
4.9916379,8.3422141,POINT (8.3422141 4.9916379),Cross River,Nigeria
6.475366,3.3189105,POINT (3.3189105 6.475366),Lagos,Nigeria
6.5206408,3.0761816,POINT (3.0761816 6.5206408),Lagos,Nigeria
,,,,
6.4445183,3.4569749,POINT (3.4569749 6.4445183),Lagos,Nigeria
,,,,
9.0338175,7.4031311,POINT (7.4031311 9.0338175),Federal Capital Territory,Nigeria
6.6817293,3.2987679,POINT (3.2987679 6.6817293),Lagos,Nigeria
10.5155267,7.42814,POINT (7.42814 10.5155267),Kaduna,Nigeria
6.4670586,3.5643465,POINT (3.5643465 6.4670586),Lagos,Nigeria
6.834497,3.9192159,POINT (3.9192159 6.834497),Ogun,Nigeria
6.5848311,3.3329005,POINT (3.3329005 6.5848311),Lagos,Nigeria
7.5221913,4.5164514,POINT (4.5164514 7.5221913),Osun,Nigeria
5.0315413,7.9308565,POINT (7.9308565 5.0315413),Akwa Ibom,Nigeria
8.9866,7.3739783,POINT (7.3739783 8.9866),Federal Capital Territory,Nigeria
6.4143695,7.5247928,POINT (7.5247928 6.4143695),Enugu,Nigeria
6.6697184,3.516056,POINT (3.516056 6.6697184),Lagos,Nigeria
6.5762048,3.2906601,POINT (3.2906601 6.5762048),Lagos,Nigeria
4.787991,6.9935739,POINT (6.9935739 4.787991),Rivers,Nigeria
5.5321806,5.74397,POINT (5.74397 5.5321806),Delta,Nigeria
,,,,
8.4683092,4.4920481,POINT (4.4920481 8.4683092),Kwara,Nigeria
,,,,
6.5763859,3.2907677,POINT (3.2907677 6.5763859),Lagos,Nigeria
6.4391929,3.4585124,POINT (3.4585124 6.4391929),Lagos,Nigeria
,,,,
7.4209592,3.8715045,POINT (3.8715045 7.4209592),Oyo,Nigeria
,,,,
4.8818767,6.975335,POINT (6.975335 4.8818767),Rivers,Nigeria
6.6387534,3.3399935,POINT (3.3399935 6.6387534),Lagos,Nigeria
4.847945,7.081465,POINT (7.081465 4.847945),Rivers,Nigeria
,,,,
6.5391844,3.39221,POINT (3.39221 6.5391844),Lagos,Nigeria
12.0086534,8.5754049,POINT (8.5754049 12.0086534),Kano,Nigeria
7.1194033,3.3255983,POINT (3.3255983 7.1194033),Ogun,Nigeria
7.1142931,3.3238605,POINT (3.3238605 7.1142931),Ogun,Nigeria
6.5578572,3.3768426,POINT (3.3768426 6.5578572),Lagos,Nigeria
,,,,
,,,,
7.2108393,5.2191494,POINT (5.2191494 7.2108393),Ondo,Nigeria
,,,,
4.7531198,7.0123508,POINT (7.0123508 4.7531198),Rivers,Nigeria
,,,,
,,,,
6.6778432,3.1260613,POINT (3.1260613 6.6778432),Ogun,Nigeria
,,,,
6.4939532,3.3813132,POINT (3.3813132 6.4939532),Lagos,Nigeria
6.733155,3.5410367,POINT (3.5410367 6.733155),Ogun,Nigeria
6.5212034,3.3016329,POINT (3.3016329 6.5212034),Lagos,Nigeria
6.6105681,3.5541342,POINT (3.5541342 6.6105681),Lagos,Nigeria
6.627701,3.3232994,POINT (3.3232994 6.627701),Lagos,Nigeria
6.6348512,3.3484849,POINT (3.3484849 6.6348512),Lagos,Nigeria
5.0481816,8.3163457,POINT (8.3163457 5.0481816),Cross River,Nigeria
6.6627479,3.2972894,POINT (3.2972894 6.6627479),Lagos,Nigeria
8.9752501,7.4881394,POINT (7.4881394 8.9752501),Federal Capital Territory,Nigeria
10.4446483,7.4527967,POINT (7.4527967 10.4446483),Kaduna,Nigeria
6.8397571,3.4446285,POINT (3.4446285 6.8397571),Ogun,Nigeria
,,,,
9.08262,7.4654217,POINT (7.4654217 9.08262),Federal Capital Territory,Nigeria
,,,,
,,,,
,,,,
,,,,
6.6736015,3.3572047,POINT (3.3572047 6.6736015),Ogun,Nigeria
4.8309534,6.992216,POINT (6.992216 4.8309534),Rivers,Nigeria
6.5081435,3.3527862,POINT (3.3527862 6.5081435),Lagos,Nigeria
,,,,
6.541528,3.3822099,POINT (3.3822099 6.541528),Lagos,Nigeria
7.1453259,3.3333825,POINT (3.3333825 7.1453259),Ogun,Nigeria
6.5525789,3.3960986,POINT (3.3960986 6.5525789),Lagos,Nigeria
,,,,
9.0768353,7.4450653,POINT (7.4450653 9.0768353),Federal Capital Territory,Nigeria
6.5193908,3.2663346,POINT (3.2663346 6.5193908),Lagos,Nigeria
6.462774,3.2518396,POINT (3.2518396 6.462774),Lagos,Nigeria
6.6156295,3.3576273,POINT (3.3576273 6.6156295),Lagos,Nigeria
6.5798375,3.2701279,POINT (3.2701279 6.5798375),Lagos,Nigeria
6.6848185,3.2858723,POINT (3.2858723 6.6848185),Lagos,Nigeria
,,,,
9.1514167,7.34362,POINT (7.34362 9.1514167),Federal Capital Territory,Nigeria
,,,,
6.6100043,3.2949539,POINT (3.2949539 6.6100043),Lagos,Nigeria
9.0236601,7.6066558,POINT (7.6066558 9.0236601),Nasarawa,Nigeria
7.2298362,5.2071219,POINT (5.2071219 7.2298362),Ondo,Nigeria
6.4966842,3.5930051,POINT (3.5930051 6.4966842),Lagos,Nigeria
,,,,
6.4275138,3.4823154,POINT (3.4823154 6.4275138),Lagos,Nigeria
6.438789,3.4905746,POINT (3.4905746 6.438789),Lagos,Nigeria
6.6744999,3.1270017,POINT (3.1270017 6.6744999),Ogun,Nigeria
,,,,
,,,,
4.8300052,7.027062,POINT (7.027062 4.8300052),Rivers,Nigeria
,,,,
6.5972101,3.3473632,POINT (3.3473632 6.5972101),Lagos,Nigeria
6.6020294,3.2975096,POINT (3.2975096 6.6020294),Lagos,Nigeria
10.5292298,7.4026336,POINT (7.4026336 10.5292298),Kaduna,Nigeria
7.757783,4.5306913,POINT (4.5306913 7.757783),Osun,Nigeria
7.3898717,3.9787919,POINT (3.9787919 7.3898717),Oyo,Nigeria
6.4882979,3.3248839,POINT (3.3248839 6.4882979),Lagos,Nigeria
6.5692471,3.3670765,POINT (3.3670765 6.5692471),Lagos,Nigeria
6.6151351,3.4787141,POINT (3.4787141 6.6151351),Lagos,Nigeria
6.6492708,3.3137109,POINT (3.3137109 6.6492708),Lagos,Nigeria
4.8364665,7.0257568,POINT (7.0257568 4.8364665),Rivers,Nigeria
6.5925733,3.2872317,POINT (3.2872317 6.5925733),Lagos,Nigeria
6.5477946,3.3767344,POINT (3.3767344 6.5477946),Lagos,Nigeria
9.005805,7.4572617,POINT (7.4572617 9.005805),Federal Capital Territory,Nigeria
6.42786,3.4617967,POINT (3.4617967 6.42786),Lagos,Nigeria
6.6263662,3.3029379,POINT (3.3029379 6.6263662),Lagos,Nigeria
12.9773078,7.6116831,POINT (7.6116831 12.9773078),Katsina,Nigeria
6.4489034,3.3982718,POINT (3.3982718 6.4489034),Lagos,Nigeria
6.495763,3.3271381,POINT (3.3271381 6.495763),Lagos,Nigeria
5.0372535,7.9117961,POINT (7.9117961 5.0372535),Akwa Ibom,Nigeria
6.7377853,6.1429231,POINT (6.1429231 6.7377853),Edo,Nigeria
6.4357419,3.3603715,POINT (3.3603715 6.4357419),Lagos,Nigeria
,,,,
6.4301778,3.4258698,POINT (3.4258698 6.4301778),Lagos,Nigeria
7.6360513,5.2199203,POINT (5.2199203 7.6360513),Ekiti,Nigeria
4.9024769,7.1125429,POINT (7.1125429 4.9024769),Rivers,Nigeria
,,,,
7.3814232,3.8682345,POINT (3.8682345 7.3814232),Oyo,Nigeria
6.5888607,3.3625978,POINT (3.3625978 6.5888607),Lagos,Nigeria
4.8116446,7.0441028,POINT (7.0441028 4.8116446),Rivers,Nigeria
6.4498967,3.3989022,POINT (3.3989022 6.4498967),Lagos,Nigeria
,,,,
6.507412,3.3288985,POINT (3.3288985 6.507412),Lagos,Nigeria
6.5310263,3.3768682,POINT (3.3768682 6.5310263),Lagos,Nigeria
6.703723,3.3535331,POINT (3.3535331 6.703723),Ogun,Nigeria
,,,,
6.4816779,3.6128002,POINT (3.6128002 6.4816779),Lagos,Nigeria
6.4515404,3.5141362,POINT (3.5141362 6.4515404),Lagos,Nigeria
6.5422168,3.3528548,POINT (3.3528548 6.5422168),Lagos,Nigeria
7.430623,3.9234333,POINT (3.9234333 7.430623),Oyo,Nigeria
,,,,
7.4250565,4.0079063,POINT (4.0079063 7.4250565),Oyo,Nigeria
8.4867694,4.5816276,POINT (4.5816276 8.4867694),Kwara,Nigeria
,,,,
6.5544168,3.3446901,POINT (3.3446901 6.5544168),Lagos,Nigeria
6.4972031,3.3496532,POINT (3.3496532 6.4972031),Lagos,Nigeria
9.1070126,7.421629,POINT (7.421629 9.1070126),Federal Capital Territory,Nigeria
,,,,
6.7510385,3.4168724,POINT (3.4168724 6.7510385),Ogun,Nigeria
7.4893858,4.5284322,POINT (4.5284322 7.4893858),Osun,Nigeria
11.9796196,8.5394608,POINT (8.5394608 11.9796196),Kano,Nigeria
9.1122137,7.4102541,POINT (7.4102541 9.1122137),Federal Capital Territory,Nigeria
,,,,
6.5737625,3.3922637,POINT (3.3922637 6.5737625),Lagos,Nigeria
7.2125532,5.2131294,POINT (5.2131294 7.2125532),Ondo,Nigeria
6.6288104,3.3702298,POINT (3.3702298 6.6288104),Lagos,Nigeria
11.0985096,7.7275822,POINT (7.7275822 11.0985096),Kaduna,Nigeria
6.6630858,3.296138,POINT (3.296138 6.6630858),Lagos,Nigeria
4.9358492,6.2745432,POINT (6.2745432 4.9358492),Bayelsa,Nigeria
,,,,
6.5161968,3.3394033,POINT (3.3394033 6.5161968),Lagos,Nigeria
