customerid,loannumber,loanamount,totaldue,termdays,bank_account_type,bank_name_clients,employment_status_clients,last_loan_amount,avg_amount,std_amount,avg_total_due,avg_term_days,std_term_days,avg_approval_time,avg_payout_time,prct_duedate_default,loan_growth_trend,max_repay_delay,avg_loan_gap,referred,age,state,acct_age_years,time_btwn_last_loan,default,credit_score,debt_to_loan_ratio,const_default,unusual_large
8a2a81a74ce8c05d014cfb32a0da1049,12,30000,34500,30,Other,Diamond Bank,Permanent,20000,18181.82,5749.6,22081.82,30,0,0,29.45454545,0.272727273,454.5455,39,2,0,53,Lagos,9,0,0,3.828959143,1.15,0,0
8a85886e54beabf90154c0a29ae757c0,2,15000,17250,30,Savings,GT Bank,Permanent,10000,10000,0,13000,27.85714286,0,0,23,0,0,0,1.25,0,40,Oyo,8,-5,0,4.082297575,1.15,0,0
8a8588f35438fe12015444567666018e,7,20000,22250,15,Other,EcoBank,Permanent,10000,10000,0,11750,17.5,5.59,0,18.16666667,0.166666667,0,30,9.4,0,40,Gombe,8,41,0,3.392146046,1.1125,0,0
8a85890754145ace015429211b513e16,3,10000,11500,15,Savings,First Bank,Permanent,10000,10000,0,12250,22.5,7.5,0,31.5,1,0,11,1,0,47,Oyo,8,13,0,1.002516851,1.15,1,0
8a858970548359cc0154883481981866,9,40000,44000,30,Other,GT Bank,Permanent,30000,18750,7806.25,23550,37.5,12.99,0,27,0,3214.2857,0,13.2857,0,39,Federal Capital Territory,9,0,0,4.757968591,1.1,0,1
8a8589f35451855401546b0738c42524,8,30000,39000,60,Unknown,Unknown,Unknown,20000,14285.71,4948.72,17828.57,30,0,0,24.85714286,0.142857143,2142.8571,1,0,0,40,Unknown,8,0,0,2.949837833,1.3,0,1
8a858e095c59b91b015c5e5cea3719bc,3,10000,13000,30,Savings,GT Bank,Permanent,10000,10000,0,12250,22.5,7.5,0,19.5,0,0,0,0,0,36,Lagos,8,0,0,4.041959006,1.3,0,0
8a858e1158dc4d830158f7bde4f47ea7,10,30000,34500,30,Savings,First Bank,Unknown,30000,20000,8164.97,23000,23.33333333,7.45,0,22.11111111,0,3000,0,2.375,0,37,Delta,8,0,0,3.36628799,1.15,0,0
8a858e185b4923b4015b4ae48d28646a,4,10000,11500,15,Savings,GT Bank,Permanent,10000,10000,0,11500,15,0,0,17.66666667,0.333333333,0,9,3,0,38,Lagos,8,14,0,2.980744367,1.15,0,0
8a858e1d5cd58f9e015ceda4bdb63673,2,10000,11500,15,Savings,Access Bank,Unemployed,10000,10000,0,11500,15,0,0,12,0,0,0,0,0,40,Lagos,8,7,0,3.533693048,1.15,0,0
8a858e245c214660015c2ba8187976f7,2,10000,13000,30,Savings,EcoBank,Permanent,10000,10000,0,11500,15,0,0,13,0,0,0,0,0,42,Rivers,8,0,0,4.102466859,1.3,0,0
8a858e345bd96da8015be6b9f8bc10c7,3,10000,13000,30,Savings,GT Bank,Permanent,10000,10000,0,12250,22.5,7.5,0,23,0.5,0,7,6,0,37,Oyo,8,2,1,2.4680653,1.3,1,0
8a858e395cb1d4d9015cb236b4811cbc,2,10000,11500,15,Savings,First Bank,Unknown,10000,10000,0,13000,30,0,0,27,0,0,0,0,0,60,Ogun,8,0,0,3.598234757,1.15,0,0
8a858e4456ced8470156dc8f1f4038d3,11,40000,44000,30,Other,UBA,Permanent,40000,24000,9165.15,27720,28.5,4.5,0,26.6,0.1,3030.303,1,6.2222,0,48,Lagos,9,0,0,4.534279164,1.1,0,0
8a858e5357d823010157d932443d28a3,13,40000,44000,30,Other,First Bank,Self-Employed,40000,21666.67,9860.13,24575,22.5,7.5,0,21.5,0,2727.2727,0,0.4545,0,46,Lagos,8,0,0,4.005654295,1.1,0,0
8a858e5b5bd99460015bdf725e143ff4,3,10000,13000,30,Savings,Access Bank,Permanent,10000,10000,0,13000,30,0,0,28,0,0,0,0,0,40,Oyo,8,2,0,4.082297575,1.3,0,0
8a858e645755e62201576b58e3522081,3,10000,11500,15,Other,UBA,Permanent,10000,10000,0,12250,22.5,7.5,0,25,0.5,0,6,2,0,43,Lagos,8,19,0,2.534434312,1.15,1,0
8a858e6c5bd3fbff015bd408ac3e067a,2,10000,11500,15,Savings,GT Bank,Unknown,10000,10000,0,11500,15,0,0,13,0,0,0,0,1,43,Lagos,8,67,1,3.426795842,1.15,0,0
8a858e705668e16701567f1523211e5a,15,40000,44000,30,Savings,Diamond Bank,Permanent,40000,26428.57,10424.66,29717.86,23.57142857,7.42,0,20.78571429,0.142857143,2439.5604,4,3.1538,0,49,Lagos,9,0,0,4.39452745,1.1,0,0
8a858e7d595026f8015951c0c4a03fae,10,30000,34500,30,Savings,Diamond Bank,Permanent,30000,20000,8164.97,22611.11,20,7.07,0,16.22222222,0.111111111,3000,1,2,0,39,Nasarawa,8,1,0,3.723473944,1.15,0,0
8a858e885c17687c015c19eead6338fd,3,10000,13000,30,Savings,GT Bank,Permanent,10000,10000,0,13000,30,0,0,22.5,0,0,0,0,1,47,Lagos,8,0,0,4.152890069,1.3,0,0
8a858e8f5d41c974015d4b7f31865627,2,10000,11500,15,Savings,First Bank,Permanent,10000,10000,0,11500,15,0,0,9,0,0,0,0,1,31,Lagos,8,5,1,3.991535796,1.15,0,0
8a858e9b5a195041015a1a602a51519d,7,25000,28750,30,Savings,GT Bank,Unknown,20000,13333.33,4714.05,15020.83,15,0,0,12.83333333,0.333333333,2285.7143,2,15.2,0,42,Niger,8,0,0,2.376355393,1.15,0,0
8a858ea555d9e6020155f489c9b237f8,3,10000,13000,30,Savings,GT Bank,Permanent,10000,10000,0,12250,22.5,7.5,0,21.5,0,0,0,28,0,43,Oyo,8,7,0,4.112551501,1.3,0,0
8a858eb05d2d1297015d313b03581809,2,10000,13000,30,Savings,GT Bank,Permanent,10000,10000,0,13000,30,0,0,5,0,0,0,0,0,37,Oyo,8,0,0,4.052043648,1.3,0,0
8a858eb85c1be44c015c1c4b667d25ee,3,10000,13000,30,Savings,GT Bank,Permanent,10000,10000,0,12250,22.5,7.5,0,11.5,0,0,0,16,0,37,Ogun,8,7,0,4.052043648,1.3,0,0
8a858ec75bfd77c4015c0d841520351c,4,20000,24500,30,Savings,Union Bank,Permanent,10000,10000,0,11500,15,0,0,12.66666667,0,0,0,0,0,33,Anambra,8,4,0,4.01170508,1.225,0,0
8a858ed35cc5ce51015cc60f40f522b4,2,10000,11500,15,Savings,GT Bank,Permanent,10000,10000,0,11500,15,0,0,9,0,0,0,0,1,41,Lagos,8,17,0,4.092382217,1.15,0,0
8a858edb5ad79cc6015ad7c9b29415c8,5,20000,22250,15,Savings,GT Bank,Permanent,20000,12500,4330.13,15500,26.25,6.5,0,21.75,0.25,3000,3,5,0,39,Lagos,8,19,0,3.283154338,1.1125,0,0
8a858ee55830c4b90158337542ab18a1,6,10000,13000,30,Unknown,Unknown,Unknown,10000,10000,0,13000,30,0,0,48.2,0.8,0,33,1,0,40,Unknown,8,0,1,0.734403282,1.3,1,0
8a858eec5ca21dcb015ca2493dee1e2d,2,10000,13000,30,Savings,UBA,Permanent,10000,10000,0,13000,30,0,0,6,0,0,0,0,0,34,Lagos,8,13,0,4.021789722,1.3,0,0
8a858ef75997d0180159a695b01e2c4c,5,20000,24500,30,Savings,First Bank,Unknown,20000,12500,4330.13,15875,30,0,0,29.75,0,3000,0,0,0,48,Federal Capital Territory,8,0,0,3.477219052,1.225,0,0
8a858f03582604ff0158260fcc730548,10,20000,24500,30,Other,First Bank,Permanent,20000,13333.33,4714.05,16211.11,25,7.07,0,24.33333333,0.222222222,1166.6667,9,5.5,0,40,Lagos,8,0,0,3.343791481,1.225,0,0
8a858f085b905684015b906e73a01478,4,20000,24500,30,Savings,FCMB,Permanent,10000,10000,0,13000,30,0,0,29,0,0,0,2.5,0,43,Lagos,8,0,0,4.112551501,1.225,0,0
8a858f1955b1c4df0155cd14c5b478ed,2,10000,13000,30,Unknown,Unknown,Unknown,10000,10000,0,11500,15,0,0,25,1,0,10,0,0,40,Unknown,8,84,0,0.252029857,1.3,1,0
8a858f2656e154de0156e3a87cdc45fb,5,20000,22250,15,Other,UBA,Student,20000,15000,5000,18750,30,0,0,27.5,0.25,4000,1,68.6667,0,31,Edo,9,0,0,3.488501784,1.1125,0,0
8a858f2e5c699f3a015c6cf27a036477,2,10000,13000,30,Savings,UBA,Permanent,10000,10000,0,13000,30,0,0,24,0,0,0,0,1,36,Lagos,8,2,0,4.041959006,1.3,0,0
8a858f335cd0c78e015cd435d7192800,2,10000,11500,15,Savings,GT Bank,Permanent,10000,10000,0,11500,15,0,0,14,0,0,0,0,0,44,Ogun,8,0,0,4.122636143,1.15,0,0
8a858f3d5add42e2015ae0ca6cb66b83,8,30000,34500,30,Unknown,Unknown,Unknown,30000,17142.86,6998.54,19664.29,19.28571429,6.78,0,14.42857143,0,3214.2857,0,3.8333,0,40,Unknown,8,1,0,3.396541916,1.15,0,0
8a858f4655ca643c0155cbc4e13945cc,15,40000,44000,30,Other,GT Bank,Permanent,40000,29285.71,10326.31,33485.71,30,0,0,24.78571429,0.285714286,2395.6044,3,0.2308,0,36,Adamawa,9,0,0,3.82844534,1.1,0,0
8a858f4f5511dca201551b73634170b6,4,10000,13000,30,Unknown,Unknown,Unknown,10000,10000,0,12000,20,7.07,0,30.66666667,1,0,17,162,0,40,Unknown,9,0,0,0.8967574,1.3,1,0
8a858f555cc65d60015cc72de106320c,2,10000,13000,30,Unknown,Unknown,Unknown,10000,10000,0,11500,15,0,0,13,0,0,0,0,1,40,Unknown,8,9,0,3.396541916,1.3,0,0
8a858f5e599783c0015997c56ef70ffa,3,10000,11500,15,Savings,GT Bank,Unknown,10000,10000,0,11500,15,0,0,14,0,0,0,6,0,49,Lagos,8,162,0,3.487303694,1.15,0,0
8a858f60560bc43d01561d94abd91c48,4,10000,11500,15,Savings,GT Bank,Permanent,10000,10000,0,13000,30,0,0,16.66666667,0,0,0,9.5,0,39,Oyo,8,10,0,4.072212932,1.15,0,0
8a858f6e5aa3c922015aa3d9cba10a74,5,20000,22250,15,Unknown,Unknown,Unknown,20000,12500,4330.13,14187.5,15,0,0,16,0.5,3000,2,18.3333,0,40,Unknown,8,14,0,1.841869365,1.1125,1,0
8a858f785cea234f015cea434e0a09e6,2,10000,13000,30,Savings,GT Bank,Permanent,10000,10000,0,11500,15,0,0,14,0,0,0,0,1,38,Lagos,8,0,0,4.06212829,1.3,0,0
8a858f7e564ad338015654d3a5c242a5,8,30000,34500,30,Other,GT Bank,Permanent,20000,14285.71,4948.72,17928.57,30,0,0,22.57142857,0,2142.8571,0,1.6667,0,37,Nasarawa,8,3,0,4.052043648,1.15,0,1
8a858f9158aff6a30158b5f2ff887585,9,20000,22250,15,Savings,GT Bank,Permanent,20000,17500,6614.38,20706.25,26.25,6.5,0,24.125,0.125,2380.9524,4,3.5714,0,50,Lagos,8,8,0,3.773961799,1.1125,0,0
8a858f975c4582c4015c550ee4925686,3,10000,13000,30,Unknown,Unknown,Unknown,10000,10000,0,13000,30,0,0,27,0,0,0,2,0,40,Unknown,8,2,0,3.396541916,1.3,0,0
8a858f995a4762a5015a4c25b0ea01c3,6,20000,24500,30,Savings,Access Bank,Permanent,20000,14000,4898.98,17460,30,0,0,21.2,0,3000,0,3,0,63,Ekiti,8,28,0,4.314244341,1.225,0,0
8a858fa45bd95e9a015be131cdec35a8,3,10000,13000,30,Savings,Zenith Bank,Permanent,10000,10000,0,12250,22.5,7.5,0,22.5,0,0,0,0,0,39,Ogun,8,0,0,4.072212932,1.3,0,0
8a858fae5b49223f015b499e1cf9485b,4,10000,13000,30,Savings,GT Bank,Unknown,10000,10000,0,12000,20,7.07,0,24.33333333,0.666666667,0,9,11,0,40,Lagos,8,0,1,1.286524505,1.3,1,0
8a858fb15b34a708015b350c4a1a58d2,4,20000,24500,30,Other,UBA,Permanent,10000,10000,0,13000,30,0,0,24.33333333,0,0,0,0,0,38,Ogun,8,0,0,4.06212829,1.225,0,0
8a858fba5cd5feee015cda4f0fa423b4,2,10000,11500,15,Savings,Access Bank,Unknown,10000,10000,0,11500,15,0,0,13,0,0,0,0,0,40,Lagos,8,1,0,3.396541916,1.15,0,0
8a858fc55b2fde30015b30c9256b43fd,5,20000,24500,30,Unknown,Unknown,Unknown,20000,12500,4330.13,15875,30,0,0,24.25,0,3000,0,6.3333,0,40,Unknown,8,1,0,3.396541916,1.225,0,0
8a858fcb5ca240f7015ca64a71fa1951,2,10000,13000,30,Savings,First Bank,Permanent,10000,10000,0,13000,30,0,0,8,0,0,0,0,0,41,Oyo,8,10,0,4.092382217,1.3,0,0
8a858fd45a4260bc015a42ac9e89278d,5,20000,24500,30,Unknown,Unknown,Unknown,15000,11250,2165.06,14343.75,30,0,0,20.5,0,1500,0,13.3333,0,40,Unknown,8,2,0,3.396541916,1.225,0,0
8a858fd95c3b5bca015c3fcc0b374c3e,2,10000,13000,30,Savings,UBA,Permanent,10000,10000,0,11500,15,0,0,13,0,0,0,0,0,38,Federal Capital Territory,8,18,0,4.06212829,1.3,0,0
8a85882953bc04f80153c205b75d7403,8,40000,48000,60,Savings,GT Bank,Self-Employed,30000,17142.86,8806.31,20800,30,19.64,0,17.85714286,0.142857143,3928.5714,1,58.1667,0,49,Lagos,9,1,0,4.274959797,1.2,0,1
8a8588dc536a14130153753dc8d32698,17,40000,44000,30,Other,GT Bank,Unemployed,40000,27500,11456.44,31459.38,29.0625,3.63,0,26.5625,0.1875,2323.5294,2,2.9333,0,55,Ogun,9,0,0,3.780389681,1.1,0,0
