customerid,state
8a2a81a74ce8c05d014cfb32a0da1049,Lagos
8a85886e54beabf90154c0a29ae757c0,Oyo
8a8588f35438fe12015444567666018e,Gombe
8a85890754145ace015429211b513e16,Oyo
8a858970548359cc0154883481981866,Federal Capital Territory
8a8589f35451855401546b0738c42524,Unknown
8a858e095c59b91b015c5e5cea3719bc,Lagos
8a858e1158dc4d830158f7bde4f47ea7,Delta
8a858e185b4923b4015b4ae48d28646a,Lagos
8a858e1d5cd58f9e015ceda4bdb63673,Lagos
8a858e245c214660015c2ba8187976f7,Rivers
8a858e345bd96da8015be6b9f8bc10c7,Oyo
8a858e395cb1d4d9015cb236b4811cbc,Ogun
8a858e4456ced8470156dc8f1f4038d3,Lagos
8a858e5357d823010157d932443d28a3,Lagos
8a858e5b5bd99460015bdf725e143ff4,Oyo
8a858e645755e62201576b58e3522081,Lagos
8a858e6c5bd3fbff015bd408ac3e067a,Lagos
8a858e705668e16701567f1523211e5a,Lagos
8a858e7d595026f8015951c0c4a03fae,Nasarawa
8a858e885c17687c015c19eead6338fd,Lagos
8a858e8f5d41c974015d4b7f31865627,Lagos
8a858e9b5a195041015a1a602a51519d,Niger
8a858ea555d9e6020155f489c9b237f8,Oyo
8a858eb05d2d1297015d313b03581809,Oyo
8a858eb85c1be44c015c1c4b667d25ee,Ogun
8a858ec75bfd77c4015c0d841520351c,Anambra
8a858ed35cc5ce51015cc60f40f522b4,Lagos
8a858edb5ad79cc6015ad7c9b29415c8,Lagos
8a858ee55830c4b90158337542ab18a1,Unknown
8a858eec5ca21dcb015ca2493dee1e2d,Lagos
8a858ef75997d0180159a695b01e2c4c,Federal Capital Territory
8a858f03582604ff0158260fcc730548,Lagos
8a858f085b905684015b906e73a01478,Lagos
8a858f1955b1c4df0155cd14c5b478ed,Unknown
8a858f2656e154de0156e3a87cdc45fb,Edo
8a858f2e5c699f3a015c6cf27a036477,Lagos
8a858f335cd0c78e015cd435d7192800,Ogun
8a858f3d5add42e2015ae0ca6cb66b83,Unknown
8a858f4655ca643c0155cbc4e13945cc,Adamawa
8a858f4f5511dca201551b73634170b6,Unknown
8a858f555cc65d60015cc72de106320c,Unknown
8a858f5e599783c0015997c56ef70ffa,Lagos
8a858f60560bc43d01561d94abd91c48,Oyo
8a858f6e5aa3c922015aa3d9cba10a74,Unknown
8a858f785cea234f015cea434e0a09e6,Lagos
8a858f7e564ad338015654d3a5c242a5,Nasarawa
8a858f9158aff6a30158b5f2ff887585,Lagos
8a858f975c4582c4015c550ee4925686,Unknown
8a858f995a4762a5015a4c25b0ea01c3,Ekiti
8a858fa45bd95e9a015be131cdec35a8,Ogun
8a858fae5b49223f015b499e1cf9485b,Lagos
8a858fb15b34a708015b350c4a1a58d2,Ogun
8a858fba5cd5feee015cda4f0fa423b4,Lagos
8a858fc55b2fde30015b30c9256b43fd,Unknown
8a858fcb5ca240f7015ca64a71fa1951,Oyo
8a858fd45a4260bc015a42ac9e89278d,Unknown
8a858fd95c3b5bca015c3fcc0b374c3e,Federal Capital Territory
8a85882953bc04f80153c205b75d7403,Lagos
8a8588dc536a14130153753dc8d32698,Ogun
8a8588fd53c244bc0153c8305ea7338f,Abroad
8a85895054a061920154a909b1a76c1d,Federal Capital Territory
8a8589b953bc23f70153c90114817143,Unknown
8a858e02578f616401579484a4963345,Cross River
8a858e0b5cfa2028015d092b47e27e30,Unknown
8a858e1556321b940156548b9ca970a6,Ogun
8a858e195b90e512015ba0eb4eed5ef5,Unknown
8a858e205af28299015af50a799745c5,Oyo
8a858e2e5bb57a37015bbe1b8d6d3830,Unknown
8a858e3559080830015923412dd84294,Unknown
8a858e3e5b3ee747015b3f0409012b7f,Anambra
8a858e4a5cac6f81015cad78a648389f,Unknown
8a858e575bf80f73015bfbc59df93401,Unknown
8a858e625c8d993a015c95e7ced318df,Oyo
8a858e655a047d1a015a12bb060936ff,Unknown
8a858e6e55c554c20155c6d8e2925c62,Lagos
8a858e785acd3412015acd7bdec42d4f,Ogun
8a858e875c63d395015c74bdfd343206,Lagos
8a858e8d56adbdae0156b30248fe3104,Unknown
8a858e985885ff6d01589211d7c01088,Lagos
8a858ea15ca2565c015ca6ed24977b5e,Ogun
8a858eaa55a0b8ae0155bab849c616a1,Niger
8a858eb4596ff919015974a667560a89,Ogun
8a858ec55b441639015b444e78b7361f,Unknown
8a858ece5b0142e3015b0a3a7f183339,Unknown
8a858eda552adcc20155307212b55ac2,Lagos
8a858ee454da1cbd0154e2796fba7142,Cross River
8a858ee65a8401a1015a8447d2ac1cf2,Lagos
8a858eef5554890501555868a7475f44,Lagos
8a858eff55a090650155a13892552a0b,Unknown
8a858f0656b7820c0156c3e3a61c1d33,Lagos
8a858f0f5bfd79d2015c0331ce3378fe,Unknown
8a858f1f587161850158742ebbce53d8,Federal Capital Territory
8a858f275c451af5015c49a2c43b5fb2,Lagos
8a858f305cb1ec4e015cb215f0500a8d,Kaduna
8a858f375cef1cbc015ceff67d505f59,Lagos
8a858f425b85835d015b85bfe40538db,Ogun
8a858f495c5973ce015c59c5f099417c,Lagos
8a858f54589736f401589857085e3b5b,Osun
8a858f585bfd6341015c03694f85158f,Akwa Ibom
8a858f5e5cf45779015cf47ed8db1872,Federal Capital Territory
8a858f665c45930d015c54a24fdc1f6c,Enugu
8a858f6f5b3f095b015b4083532532a0,Lagos
8a858f7a5ca22d3c015ca24d01461879,Lagos
8a858f8d5cc56f9a015cc57e769908ac,Rivers
8a858f965bb63a25015bc22b915e62f1,Delta
8a858f985b80ab2c015b81098b8f2c2e,Unknown
8a858fa15c8ceaaa015c8d79c65f4f86,Kwara
8a858fa95b631878015b6401c15973f3,Unknown
8a858faf56b7821c0156b93cd62a6275,Lagos
8a858fb45b3eef19015b3fa969390cd3,Lagos
8a858fbd5cd6054a015ce82aa3914088,Unknown
8a858fca5c830943015c835e839e33a5,Oyo
8a858fcf5591c5cf015597c298cb15d9,Unknown
8a858fd55c45ba15015c4f06ea176506,Rivers
8a858fdf5bf85f71015bfc1f51f9690a,Lagos
8a858fea5b391cd7015b3936e1ca25c8,Rivers
8a858ff45be92ea2015be98bc2162c96,Unknown
8a858ffb5b350b52015b352574d219d9,Lagos
8a8589a453bc422d0153c993db2604b6,Kano
8a858e275c7ea5ec015c82482d7c3996,Ogun
8a858e885b68546c015b6cb377c12140,Ogun
8a858ee65be8d42d015bea072bee5936,Lagos
8a858f3455a0d8070155c5fee7cc0a6d,Unknown
8a858f7e5c69a6e3015c69b6aba2072e,Unknown
8a858fd25c5a5bc7015c5b63cb92393a,Ondo
8a1edbf14734127f0147356fdb1b1eb2,Unknown
8a85884e54a0565b0154ba3fa6c72e7e,Rivers
8a8588f754a058cb0154b3b507dc1abe,Unknown
8a85892e5425ad2001542d2827756546,Unknown
8a8589b953d0be470153d0e6e1490a90,Ogun
8a858e0458d4ac3d0158dd57e64e736c,Unknown
8a858e0d59b7438d0159b7e0aa7533cd,Lagos
8a858e1556321b9401564c8d8e8144d8,Ogun
8a858e225c404292015c4419d23d04f8,Lagos
8a858e3654e2a82401550631bfcd571d,Lagos
8a858e445add19b4015addc433723178,Lagos
8a858e5b5bd99460015bd9e9ee2e18f4,Lagos
8a858e615c832be8015c83b1cd532bb9,Cross River
8a858e69566ae5b801567378795b7add,Lagos
8a858e6e55c554c20155d574b4596645,Federal Capital Territory
8a858e725b3424d2015b3427a76103d2,Kaduna
8a858e845accb4f9015accdccf761e20,Ogun
8a858e9156e137c601570b2f414c4258,Unknown
8a858ea35a28b88b015a3be970e0681d,Federal Capital Territory
8a858eac5c451942015c58ac70523824,Unknown
8a858eb95b3ed48c015b4034cc273ab2,Unknown
8a858ebd5b254c8b015b2fd8dafc7cee,Unknown
8a858ec65c123dfb015c150e513455db,Unknown
8a858ed25ba09f98015ba3f2c69e6d69,Ogun
8a858ed55bafadc7015bb15979d1553e,Rivers
8a858eda5c8863ff015c911534db43b8,Lagos
8a858ee0560bc07701561391bb845623,Unknown
8a858ee55cb156e6015cbb9fb27c2ad1,Lagos
8a858ef258d4a48b0158e998c5794c1c,Ogun
8a858eff55a090650155b7b1624119ab,Lagos
8a858f065b1fe50a015b200b42462585,Unknown
8a858f0d58a18ebc0158ab6deec27309,Federal Capital Territory
8a858f13556665aa01556dbccd6e1a20,Lagos
8a858f1e5aec5791015aecbc59413486,Lagos
8a858f265b5c418f015b5c58effa1a88,Lagos
8a858f2756cec0a30156e2d4cea415a3,Lagos
8a858f2d5853901a01586382639065c7,Lagos
8a858f315ccb979d015ccf98ddd4661f,Unknown
8a858f3d5add42e2015ae9ab7c277132,Federal Capital Territory
8a858f465668e3d601566ad583100ef5,Unknown
8a858f545908094b01591185749d6f25,Lagos
8a858f595ccb6f86015cced9f57a03d6,Nasarawa
8a858f60562378450156250366f10f86,Ondo
8a858f6e5cb16eb9015cbb1fb520374d,Lagos
8a858f7958b0a4a80158b47fb32010f3,Unknown
8a858f7e5c213ef4015c21ca37fb3888,Lagos
8a858f93572e873c01574753c9513a4e,Lagos
8a858f975c4582c4015c4e5295c66873,Ogun
8a858f9d5668e3f101566fb7494822f9,Unknown
8a858fe45cd62cbf015cdfb7b59f05f4,Unknown
8a858fec5ceec886015ceee4a2ab15ac,Rivers
8a858ff8582fcb8601583e9ee74e1732,Unknown
8a858ffd5c8d343d015c97cecd270cb5,Lagos
8a858e105bd92644015be762bf10576f,Lagos
8a858e675c3fe0a1015c417e73085191,Kaduna
8a858ed1594a282f01594a4d14f50a58,Osun
8a858f095c3b2c30015c3b5964a111df,Oyo
8a858f5f5b39bb0c015b3b298dd1358b,Lagos
8a858f9c57f74b1d0157f753c181047e,Lagos
8a858fe25ab3f041015ab51fc3c44cbd,Lagos
8a8189d152443f820152443f89500001,Lagos
8a8588b754517d800154555019c36231,Rivers
8a8589045384bd8301539e05b3d35023,Lagos
8a858953548fb0c001549b31ac5f6dda,Lagos
8a858e0156b782a10156b8e131824d39,Federal Capital Territory
8a858e065ccb8bc0015ccc9d8c2532cb,Lagos
8a858e0f5c45466f015c546652e81026,Lagos
8a858e195b90e512015b9312936863cf,Katsina
8a858e2e5bb57a37015bc8ff494a1089,Lagos
8a858e3a54e337020154fda980777859,Lagos
8a858e4b5cb1e4d7015cbbde80436cf1,Akwa Ibom
8a858e5d57518f4601576a5b604c4adf,Edo
8a858e64590ae20001590c511d9b0cdf,Lagos
8a858e695d1e075c015d211df3354b8e,Unknown
8a858e705668e1670156810ee20960b7,Lagos
8a858e785c8d9167015c9b35e2411165,Ekiti
8a858e8d56b784480156b7d232f723a8,Rivers
8a858e9b5bcf8546015bcfaf5b680756,Unknown
8a858ea45c109201015c10d210791b14,Oyo
